ntdid,Legacy NTD ID,name,Reporter Acronym,Doing Business As,Reporter Status,reporter,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,city,state,zipcode,zipext,region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
90023,9023,Long Beach Transit,LBT,,Active,Full Reporter,Urban,Other Publicly-Owned or Privately Chartered Corporation,,,,6/30/2016,10/31/2016,1963 East Anaheim Street,,,Long Beach,CA,90801,731,9,http://www.lbtransit.com/,1652,50125194,98,"796,609",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",Y,187,10,197,,
90024,9024,City of La Mirada Transit,LMT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,13700 La Mirada Boulevard,,,La Mirada,CA,90638,,9,http://www.cityoflamirada.org/,1706,4947735,8,"49,527",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",Y,,7,7,,
90025,9T25,Karuk Tribe,,,Active,Reduced Reporter,Tribal,Tribe,,,,9/30/2016,1/31/2017,64236 Second Avenue,,1016,Happy Camp,CA,96039,,9,http://www.karuk.us/,,145307930,,,0,California Non-UZA,"Karuk Reservation and Off-Reservation Trust Land, CA",0,0,0,,,,,,
90026,9026,San Diego Metropolitan Transit System,MTS,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1255 Imperial Avenue,Suite 1000,,San Diego,CA,92101,,9,http://www.sdmts.com/,2301,153682703,720,"2,462,707",15,"San Diego, CA",,"2,956,746","4,037",732,,321,444,765,,
90027,9027,Fresno Area Express,FAX,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,2223 G Street,,,Fresno,CA,93706,1600,9,http://www.fresno.gov/fax/,1649,169204872,133,"515,609",63,"Fresno, CA",,"654,628","3,822",171,Y,80,49,129,,
90029,9029,Omnitrans,OMNI,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1700 West Fifth Street,,,San Bernardino,CA,92411,,9,http://www.omnitrans.org/,1681,81816050,466,"1,487,235",22,"Riverside-San Bernardino, CA",,"1,932,666","3,546",545,Y,162,104,266,,
90030,9030,North County Transit District,NCTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,810 Mission Avenue,,,Oceanside,CA,92054,2825,9,http://www.gonctd.com/,1690,20518361,403,"849,420",15,"San Diego, CA",,"2,956,746","4,037",732,Y,,230,230,,
90031,9031,Riverside Transit Agency,RTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1825 Third Street,,59968,Riverside,CA,92507,,9,http://www.riversidetransit.com/,1686,81813461,"2,725","2,018,724",22,"Riverside-San Bernardino, CA",,"1,932,666","3,546",545,Y,97,177,274,,
90032,9032,City of Phoenix Public Transit Department dba Valley Metro,Valley Metro,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,302 North First Avenue,Suite 900,,Phoenix,AZ,85003,1598,9,http://www.valleymetro.org/,1683,136943524,462,"1,984,490",12,"Phoenix-Mesa, AZ",,"3,629,114","3,165","1,147",,,565,565,,
90033,9033,City of Tuscon,COT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,149 N Stone Ave - 2nd Floor ,,27210,Tucson   ,AZ,85726,7210,9,http://www.ci.tucson.az.us/,1667,866000266,239,"636,499",52,"Tucson, AZ",,"843,168","2,385",353,,336,,336,,
90034,9034,City of Glendale Transit,,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,6210 West Myrtle Avenue,Building S,,Glendale,AZ,85301,,9,http://www.glendaleaz.com/,,77523579,59,"226,721",12,"Phoenix-Mesa, AZ",,"3,629,114","3,165","1,147",Y,18,,18,,
90035,9035,Gold Coast Transit,GCT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,301 E. Third St.,,,Oxnard,CA,93030,6048,9,http://www.goldcoasttransit.org/,1678,83021832,84,"367,260",103,"Oxnard, CA",,"367,260","4,352",84,Y,45,22,67,,
90036,9036,Orange County Transportation Authority,OCTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,550 South Main Street,,14184,Orange,CA,92863,1584,9,http://www.octa.net/,1682,153947940,463,"3,077,903",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,272,"1,286","1,558",,
90039,9039,Culver City Municipal Bus Lines,Culver CityBus,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,4343 Duquesne Avenue,,,Culver City,CA,90232,2941,9,http://www.culvercity.org/,1647,63833651,33,"341,718",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",Y,46,,46,,
90041,9041,Montebello Bus Lines,MBL,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,400 South Taylor Avenue,,,Montebello,CA,90640,,9,http://www.ridembl.com/,1657,66677386,151,"315,074",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",Y,62,45,107,,
90042,9042,City of Gardena Transportation Department,GMBL,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,13999 S. Western Ave.,,,Gardena,CA,90249,3005,9,http://www.ci.gardena.ca.us/,1640,155733629,40,"463,968",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",Y,49,,49,,
90043,9043,City of Commerce Municipal Buslines,CBL,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,2535 Commerce Way,,,Commerce,CA,90040,,9,http://ci.commerce.ca.us/,1650,76943018,11,"12,997",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",Y,14,,14,,
90044,9044,City of Arcadia Transit,Arcadia Transit,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,240 West Huntington Drive,,60021,Arcadia,CA,91066,6021,9,http://www.ci.arcadia.ca.us/,1633,82197278,11,"56,364",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,,14,14,,
90045,9045,Regional Transportation Commission of Southern Nevada,RTC,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,600 South Grand Central Parkway,Suite 350,,Las Vegas,NV,89106,4512,9,http://www.rtcsnv.com/,1643,830233818,280,"2,008,655",23,"Las Vegas-Henderson, NV",,"1,886,011","4,525",417,Y,,612,612,,
90050,9050,Simi Valley Transit,SVT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,2929 Tapo Canyon Road,,,Simi Valley,CA,93063,2199,9,http://www.simivalley.org/,1865,76238211,47,"126,414",254,"Simi Valley, CA",,"125,206","3,983",31,Y,16,,16,,
90052,9052,City of Corona,CCTS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,400 South Vicentia Avenue,,,Corona,CA,92882,,9,http://www.CoronaTransit.com/,1638,170737589,41,"164,226",22,"Riverside-San Bernardino, CA",,"1,932,666","3,546",545,Y,,15,15,,
90061,9061,Yuba-Sutter Transit Authority,YSTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,2100 B Street,,,Marysville,CA,95901,,9,http://www.yubasuttertransit.com/,5058,172083438,813,"141,977",270,"Yuba City, CA",,"116,719","3,019",39,Y,,34,34,,
90062,9062,Monterey-Salinas Transit,MST,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,One Ryan Ranch Road,,,Monterey,CA,93940,5795,9,http://www.mst.org/,1688,73957813,280,"433,898",276,"Seaside-Monterey, CA",,"114,237","2,952",39,Y,58,47,105,,
90078,9078,Central Contra Costa Transit Authority,County Connection,COUNTY CONNECTION,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,2477 Arnold Industrial Way,,,Concord,CA,94520,5327,9,http://www.cccta.org/,2584,19569128,143,"540,067",66,"Concord, CA",,"615,968","3,023",204,Y,93,50,143,,
90079,9079,SunLine Transit Agency,SunLine,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,32-505 Harry Oliver Trail,,,Thousand Palms,CA,92276,398,9,http://www.sunline.org/,5057,87378915,"1,120","432,416",111,"Indio-Cathedral City, CA",,"345,580","2,403",144,,88,,88,,
90086,9086,City of Riverside Special Transportation,City of Riverside,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,3900 Main Street,,,Riverside,CA,92522,144,9,http://www.riversideca.gov/park_rec/seniors-transportation.asp/,2003,40502114,82,"313,041",22,"Riverside-San Bernardino, CA",,"1,932,666","3,546",545,,25,,25,,
90087,9087,Santa Maria Area Transit,SMAT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,110 South Pine Street,Suite 101,,Santa Maria,CA,93458,5082,9,http://www.ci.santa-maria.ca.us/3075.html/,1870,99992505,34,"120,097",246,"Santa Maria, CA",,"130,447","4,479",29,Y,,28,28,,
90088,9088,Napa Valley Transportation Authority,NCTPA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,625 Burnell St,,,Napa,CA,94559,3420,9,http://www.ridethevine.com/,5001,831725911,45,"138,000",342,"Napa, CA",,"83,913","3,250",26,Y,,43,43,,
90089,9089,Sonoma County Transit,SCT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,355 West Robles Avenue,,,Santa Rosa,CA,95407,,9,http://www.sctransit.com/,2765,80126444,395,"500,225",123,"Santa Rosa, CA",,"308,231","3,146",98,Y,1,65,66,,
90090,9090,Yolo County Transportation District,YCTD,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,350 Industrial Way,,,Woodland,CA,95776,,9,http://www.yolobus.com/,5448,787290923,109,"528,880",28,"Sacramento, CA",,"1,723,634","3,660",471,Y,,48,48,,
90091,9091,City of Visalia - Visalia City Coach,Visalia Transit,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,"425 East Oak Avenue, Suite 201",,,Visalia,CA,93291,,9,http://www.ci.visalia.ca.us/,2581,30999866,36,"130,753",162,"Visalia, CA",,"219,454","3,460",63,Y,,39,39,,
90092,9092,City of Fairfield - Fairfield and Suisun Transit,FAST,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,Fairfield Transportation Center,2000 Cadenasso Drive,,Fairfield,CA,94533,,9,http://www.ci.fairfield.ca.us/,1648,40010019,129,"505,849",240,"Fairfield, CA",,"133,683","3,388",39,Y,,42,42,,
90093,9093,Redding Area Bus Authority,RABA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,777 Cypress Avenue,,,Redding,CA,96001,,9,http://www.rabaride.com/,1629,556912103,100,"117,478",267,"Redding, CA",,"117,731","1,657",71,Y,,29,29,,
90095,9095,San Diego Association of Governments,SANDAG,,Active,Full Reporter,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2016,10/31/2016,401 B Street,Suite 800,,San Diego,CA,92101,,9,http://www.sandag.org/,1620,94016941,"11,173","4,997,084",15,"San Diego, CA",,"2,956,746","4,037",732,Y,,727,727,,
90119,9119,Laguna Beach Municipal Transit,CLB,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,505 Forest Avenue,,,Laguna Beach,CA,92651,,9,http://www.lagunabeachcity.net/,1705,809135552,9,"22,723",69,"Mission Viejo-Lake Forest-San Clemente, CA",,"583,681","3,878",151,N,28,,28,,
90121,9121,Antelope Valley Transit Authority,AVTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,42210 6th Street West,,,Lancaster,CA,93534,7124,9,http://www.avta.com/,5564,45578353,"1,200","349,050",112,"Lancaster-Palmdale, CA",,"341,219","2,954",116,Y,,75,75,,
90131,9131,City of Scottsdale - Scottsdale Trolley,COS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,7447 East Indian School Road,Suite 205,,Scottsdale,AZ,85251,3915,9,http://www.scottsdaleaz.gov/,,74465238,48,"96,389",12,"Phoenix-Mesa, AZ",,"3,629,114","3,165","1,147",Y,,14,14,,
90134,9134,Peninsula Corridor Joint Powers Board dba: Caltrain,PCJPB,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1250 San Carlos Avenue,,3006,San Carlos,CA,94070,1306,9,http://www.caltrain.com/,5537,196507896,425,"3,690,367",13,"San Francisco-Oakland, CA",,"3,281,212","6,266",524,Y,,135,135,,
90136,9136,"Regional Public Transportation Authority, dba: Valley Metro",RPTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,101 North First Avenue,Number 1300,,Phoenix,AZ,85003,,9,http://www.valleymetro.org/,,627985807,495,"2,196,442",12,"Phoenix-Mesa, AZ",,"3,629,114","3,165","1,147",Y,,384,384,,
90140,9140,Peoria Transit,,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,8401 West Monroe Avenue,,,Peoria,AZ,85345,,9,http://www.peoriaaz.gov,1683,2494128,175,"126,911",12,"Phoenix-Mesa, AZ",,"3,629,114","3,165","1,147",Y,5,,5,,
90142,9142,Unitrans - City of Davis/ASUCD,Unitrans,,Active,Full Reporter,Urban,University,,,,6/30/2016,10/31/2016,One Shields Avenue,5 South Hall,,Davis,CA,95616,8759,9,http://www.unitrans.com/,2085,4953600,13,"72,611",382,"Davis, CA",,"72,794","5,157",14,Y,36,,36,,
90144,9144,Livermore / Amador Valley Transit Authority,LAVTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1362 Rutan Court,Suite 100,,Livermore,CA,94551,,9,http://www.wheelsbus.com/,5296,363032608,40,"220,469",66,"Concord, CA",,"615,968","3,023",204,Y,,64,64,,
90146,9146,Foothill Transit,,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,100 South Vincent  Avenue,Suite 200,,West Covina,CA,91790,2902,9,http://www.foothilltransit.org/,5551,943642124,327,"1,515,836",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",Y,,318,318,,
90147,9147,City of Los Angeles Department of Transportation,LADOT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,100 S Main St,10th Floor,,Los Angeles,CA,90012,,9,http://www.ladottransit.com/,1644,69928349,465,"4,849,476",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",Y,,355,355,,
90148,9148,Victor Valley Transit Authority,VVTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,17150 Smoketree St.,,,Hesperia,CA,92345,8305,9,http://www.vvta.org/,5538,20849266,950,"429,481",114,"Victorville-Hesperia, CA",,"328,454","1,969",167,Y,,276,276,,
90149,9149,City of Lompoc - Lompoc Transit,COLT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,100 Civic Center Plaza,,8001,Lompoc,CA,93438,8001,9,http://www.cityoflompoc.com/transit/,1651,70200019,40,"55,666",485,"Lompoc, CA",,"51,509","4,816",11,Y,,23,23,,
90151,9151,Southern California Regional Rail Authority dba: Metrolink,Metrolink,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,One Gateway Plaza,Floor 12,,Los Angeles,CA,90012,,9,http://www.metrolinktrains.com/,5802,9654173,"2,291","8,341,002",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",Y,,195,195,,
90154,9154,Los Angeles County Metropolitan Transportation Authority dba: Metro,LACMTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,One Gateway Plaza,,,Los Angeles,CA,90012,2952,9,http://www.metro.net/,5566,44055523,"1,513","8,626,817",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",Y,"2,041","1,503","3,544",,
90155,9155,City of Vacaville,City Coach,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,650 Merchant Street,,,Vacaville,CA,95688,,9,http://www.citycoach.com/,5601,625109095,27,"93,141",314,"Vacaville, CA",,"93,141","3,398",27,Y,,15,15,,
90156,9156,City of San Luis Obispo,SLO Transit,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,919 Palm Street,,,San Luis Obispo,CA,93401,,9,http://www.slocity.org/,1670,829742431,22,"52,576",447,"San Luis Obispo, CA",,"59,219","2,901",20,Y,,10,10,,
90157,9157,Access Services,AS,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,3449 Santa Anita Avenue,,5728,El Monte,CA,91734,1728,9,http://accessla.org/home/,5830,883300121,"1,621","11,638,106",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",N,,"1,955","1,955",,
90159,9159,Western Contra Costa Transit Authority,WestCAT,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,601 Walter Avenue,,,Pinole,CA,94564,,9,http://www.westcat.org/,5624,103429301,20,"64,925",13,"San Francisco-Oakland, CA",,"3,281,212","6,266",524,,,47,47,,
90161,9161,City of Union City Transit Division,UCT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,34009 Alvarado-Niles Road,,,Union City,CA,94587,,9,http://www.uctransit.org/,5651,4939732,18,"72,952",13,"San Francisco-Oakland, CA",,"3,281,212","6,266",524,Y,,19,19,,
90162,9162,The Eastern Contra Costa Transit Authority,Tri Delta Transit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,801 Wilbur Avenue,,,Antioch,CA,94509,7500,9,http://www.trideltatransit.com/,5617,27206556,225,"306,000",137,"Antioch, CA",,"277,634","3,412",81,Y,,73,73,,
90163,9163,Camarillo Area Transit,CAT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,c/o: City of Camarillo,601 Carmen Drive,248,Camarillo,CA,93011,248,9,http://www.cityofcamarillo.org,5579,830806068,20,"66,923",386,"Camarillo, CA",,"71,772","3,263",22,Y,,15,15,,
90164,9164,Ventura Intercity Service Transit Authority,VISTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,950 County Square Drive,Suite 207,,Ventura,CA,93003,,9,http://www.goventura.org/,5579,100848303,28,"199,943",103,"Oxnard, CA",,"367,260","4,352",84,Y,,44,44,,
90165,9165,Thousand Oaks Transit,TOT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,c/o: City of Thousand Oaks,2100 Thousand Oak Boulevard,,Thousand Oaks,CA,91362,,9,http://www.toaks.org/,,55751937,138,"419,630",168,"Thousand Oaks, CA",,"214,811","2,509",86,Y,,28,28,,
90167,9167,Davis Community Transit,DCT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1818 5th St,,,Davis,CA,95616,,9,http://cityofdavis.org/city-hall/parks-and-community-services/davis-community-transit,2085,4953600,21,"73,020",382,"Davis, CA",,"72,794","5,157",14,Y,3,,3,,
90168,9168,Roseville Transit,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,401 Vernon Street,,,Roseville,CA,95678,,9,http://www.roseville.ca.us/transit/,5728,76119643,43,"134,073",28,"Sacramento, CA",,"1,723,634","3,660",471,Y,,23,23,,
90169,9169,"vRide, Inc. - Valley Metro",,,Active,Full Reporter,Urban,Private Provider Reporting on Behalf of a Public Entity,,,,12/31/2016,4/30/2017,"1730 E Northern Ave, Suite 204",,,Phoenix,AZ,85020,,9,http://www.vride.com/,,98675887,741,"2,700,000",12,"Phoenix-Mesa, AZ",,"3,629,114","3,165","1,147",Y,397,,397,,
90171,9171,Santa Clarita Transit,SCT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,28250 Constellation Road,,,Santa Clarita,CA,91355,,9,http://www.santa-clarita.com/,5550,192385573,78,"252,271",146,"Santa Clarita, CA",,"258,653","3,371",77,Y,,90,90,,
90173,9173,Transit Joint Powers Authority for Merced County,The Bus,Merced The Bus,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,369 W. 18th street,,,Merced,CA,95340,,9,http://www.mercedthebus.com/,5731,135777782,310,"136,957",235,"Merced, CA",,"136,969","2,882",48,Y,,51,51,,
90175,9175,City of Lodi - Transit Division,Grapeline,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,221 West Pine Street,,3006,Lodi,CA,95241,1910,9,http://www.lodi.gov/transit/,5578,20004552,16,"63,719",403,"Lodi, CA",,"68,738","4,320",16,Y,,16,16,,
90182,9182,Altamont Corridor Express,ACE,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,949 East Channel Street,,,Stockton,CA,95202,,9,http://www.acerail.com/,5859,135967599,28,"4,094,704",102,"Stockton, CA",,"370,583","4,005",93,Y,,26,26,,
90191,9191,Town of Oro Valley - Transit Services Division,SunShutDNR,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,11000 North La Canada Drive,,,Oro Valley,AZ,85737,,9,http://www.orovalleyaz.gov/,,98039373,31,"46,500",52,"Tucson, AZ",,"843,168","2,385",353,Y,26,,26,,
90194,9194,City of Atascadero,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,Department of Public Works,6500 Palma Avenue,,Atascadero,CA,93422,,9,http://www.atascadero.org/,6337,120959952,25,"29,134",423,"El Paso de Robles (Paso Robles)-Atascadero, CA",,"65,088","2,070",31,Y,,3,3,,
90196,9196,Placer County Department of Public Works and Facilities,PCDPWF,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,3091 County Center Dr,Suite 220,,Auburn,CA,95603,,9,http://www.placer.ca.gov/,5618,71549588,471,"357,463",28,"Sacramento, CA",,"1,723,634","3,660",471,Y,15,23,38,,
90197,9197,City of Tracy,TRACER,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,333 Civic Center Plaza,,,Tracy,CA,95376,,9,http://www.ci.tracy.ca.us/,6200,74640111,20,"85,182",334,"Tracy, CA",,"87,569","3,935",22,Y,,13,13,,
90198,9198,City of Porterville,COLT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,291 North Main Street,,,Porterville,CA,93257,3737,9,http://www.portervilletransit.com/,6260,30969406,49,"75,691",394,"Porterville, CA",,"70,272","3,426",21,Y,,12,12,,
90199,9199,City of Madera,MAX/DAR,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,205 West 4th Street,,,Madera,CA,93637,3527,9,http://www.cityofmadera.org/,6264,78772142,16,"64,208",362,"Madera, CA",,"78,413","3,502",22,Y,,16,16,,
90200,9200,Kings County Area Public Transit Agency,KART,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,629 Davis Street,,,Hanford,CA,93230,,9,http://www.MYKARTBUS.com/,6259,800223674,13,"70,267",333,"Hanford, CA",,"87,941","3,170",28,Y,,21,21,,
90201,9201,City of Turlock,BLAST and DART,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,"156 South Broadway, Suite 150",,,Turlock,CA,95380,5454,9,http://www.ci.turlock.ca.us/,2715,78792496,22,"87,867",300,"Turlock, CA",,"99,904","3,874",26,Y,,8,8,,
90205,9205,City of Elk Grove,etran,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,8401 Laguna Palms Way,,,Elk Grove,CA,95758,,9,http://www.e-tran.org/,6652,130410389,42,"162,889",28,"Sacramento, CA",,"1,723,634","3,660",471,Y,,53,53,,
90206,9206,San Luis Obispo Regional Transit Authority,SLORTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,179 Cross Street,Suite A,,San Luis Obispo,CA,93401,,9,http://www.slorta.org/,6930,125137096,130,"206,008",447,"San Luis Obispo, CA",,"59,219","2,901",20,Y,43,,43,,
90208,9208,Butte County Association of Governments,BCAG,,Active,Full Reporter,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2016,10/31/2016,326 Huss Drive,Suite 150,,Chico,CA,95928,,9,http://www.bcag.org/,1627,602797891,198,"184,318",306,"Chico, CA",,"98,176","2,853",34,,,47,47,,
90209,9209,"Valley Metro Rail, Inc.",VMR,,Active,Full Reporter,Urban,Other Publicly-Owned or Privately Chartered Corporation,,,,6/30/2016,10/31/2016,"101 N. First Avenue, Suite 1300",,,Phoenix,AZ,85003,,9,http://www.valleymetro.org/metro_light_rail/,,791499598,40,"302,323",12,"Phoenix-Mesa, AZ",,"3,629,114","3,165","1,147",Y,,38,38,,
90211,9211,Anaheim Transportation Network,ATN,,Active,Full Reporter,Urban,Private-Non-Profit Corporation,,,,6/30/2016,10/31/2016,1280 South Anaheim Blvd,,,Anaheim,CA,92805,,9,http://www.rideart.org/,,969067990,50,"345,012",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",Y,,63,63,,
90213,9213,City of Petaluma,Petaluma Transit,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,555 North McDowell Blvd.,,,Petaluma,CA,94954,,9,http://www.cityofpetaluma.net/pubworks/transit-sub.html/,2713,20021978,12,"60,438",428,"Petaluma, CA",,"64,078","3,008",21,Y,,16,16,,
