ntdid,Legacy NTD ID,name,Reporter Acronym,Doing Business As,Reporter Status,reporter,mode,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,city,state,zipcode,zipext,P.O. Box,region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
70004,7T04,Winnebago Tribe of Nebraska,,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,,,Winnebago,NE,68071,,687,7,,6776,41643834,20,"1,000",0,Nebraska Non-UZA,"Winnebago Reservation and Off-Reservation Trust Land, NE--IA",0,0,0,,4,,4,,
70005,7005,Kansas City Area Transportation Authority,KCATA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,1200 East 18th Street,,Kansas City,MO,64108,,,7,http://www.kcata.org/,1827,73046773,456,"788,748",31,"Kansas City, MO-KS",,"1,519,417","2,242",678,Y,222,73,295,,
70006,7006,"Bi-State Development Agency of the Missouri-Illinois Metropolitan District, d.b.a.(St. Louis) Metro",METRO,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,707 North First Street,,St. Louis,MO,63102,,,7,http://www.metrostlouis.org/,1830,6490569,558,"1,621,261",20,"St. Louis, MO-IL",,"2,150,706","2,329",924,Y,473,,473,,
70007,7007,Bettendorf Transit System,BT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1609 State Street,,Bettendorf,IA,52722,,,7,http://www.bettendorf.org/department/?fDD=22-0/,1818,78098613,22,"35,716",134,"Davenport, IA-IL",,"280,051","2,026",138,Y,5,4,9,,
70008,7008,Cedar Rapids Transit,CRT,Cedar Rapids Transit,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,427 8th St NW,,Cedar Rapids,IA,52405,3801,,7,http://www.cedar-rapids.org/transit/,1820,155786874,78,"158,890",193,"Cedar Rapids, IA",,"177,844","2,131",83,Y,22,8,30,,
70009,7009,Davenport Public Transit,CITIBUS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,226 West Fourth Street,,Davenport,IA,52801,,,7,http://www.cityofdavenportiowa.com/,1822,20156857,26,"99,685",134,"Davenport, IA-IL",,"280,051","2,026",138,Y,18,,18,,
70010,7010,Des Moines Area Regional Transit Authority,DART,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,620 Cherry Street,,Des Moines,IA,50309,,,7,http://www.ridedart.com/,1831,78072675,163,"374,910",85,"Des Moines, IA",,"450,070","2,244",201,Y,229,2,231,,
70011,7011,City of Dubuque,The Jule,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,2401 Central Avenue,,Dubuque,IA,52001,3302,,7,http://www.cityofdubuque.org/,1832,93105302,26,"60,140",409,"Dubuque, IA-IL",,"67,818","2,007",34,Y,25,,25,,
70012,7012,Sioux City Transit System,SCTS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,509 Nebraska Street,,Sioux City,IA,51102,447,447,7,http://www.sioux-city.org/transit/,1836,161922174,53,"122,128",292,"Sioux City, IA-NE-SD",,"106,494","1,959",54,Y,21,7,28,,
70013,7013,Metropolitan Transit Authority of Black Hawk County,MET Transit,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1515 Black Hawk Street,,Waterloo,IA,50702,,,7,http://www.mettransit.org/,1837,62765219,51,"108,519",278,"Waterloo, IA",,"113,418","1,823",62,Y,27,,27,,
70014,7014,Topeka Metropolitan Transit Authority,TMTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,201 North Kansas Avenue,,Topeka,KS,66603,3622,,7,http://www.topekametro.org/,1823,67933390,58,"127,473",217,"Topeka, KS",,"150,003","1,885",80,Y,33,8,41,,
70015,7015,Wichita Transit,WT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,777 East Waterman,,Wichita,KS,67202,,,7,http://www.wichitatransit.org/,1824,43063460,159,"382,386",83,"Wichita, KS",,"472,870","2,202",215,Y,58,98,156,,
70016,7016,City of Columbia,COMO,COMO Connect,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,701 East Broadway,,Columbia,MO,65205,6015,6015,7,http://www.gocolumbiamo.com/PublicWorks/Transportation/,1825,71989024,65,"121,351",255,"Columbia, MO",,"124,748","2,018",62,Y,37,,37,,
70018,7018,Iowa City Transit,ICT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,410 East Washington Street,,Iowa City,IA,52240,1825,,7,http://www.icgov.org/,1833,145409996,25,"68,947",290,"Iowa City, IA",,"106,621","2,339",46,Y,21,,21,,
70019,7019,University of Iowa,Cambus,,Active,Full Reporter,Full Reporter,University, ,,,6/30/2015,10/31/2015,100 WCTC,,Iowa City,IA,52242,1000,,7,http://www.uiowa.edu/~cambus/,1835,62761671,30,"71,372",290,"Iowa City, IA",,"106,621","2,339",46,Y,29,,29,,
70030,7030,Coralville Transit System,CTS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1512 7th St.,,Coralville,IA,52241,127,5127,7,http://www.coralville.org/,1834,80289036,12,"19,219",290,"Iowa City, IA",,"106,621","2,339",46,Y,7,,7,,
70032,7032,St. Joseph Transit,The Ride,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,702 South 5th Street,,St. Joseph,MO,64501,,,7,http://www.stjoetransit.info/,1897,30656144,39,"78,004",354,"St. Joseph, MO-KS",,"81,176","1,940",42,Y,16,,16,,
70035,7035,"Johnson County Kansas, aka: Johnson County Transit",The JO,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,1701 West 56 Highway,,Olathe,KS,66061,,,7,http://www.jocogov.org/dept/transit/home,5400,73022857,142,"390,882",31,"Kansas City, MO-KS",,"1,519,417","2,242",678,Y,,87,87,,
70040,7040,City of Joplin Metro Area Public,MAPS,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,10/31/2015,4/30/2016,602 S. Main Street,,Joplin,MO,64801,,,7,http://joplinmo.org/,3087,10649846,105,"75,000",347,"Joplin, MO",,"82,775","1,285",64,Y,9,,9,,
70041,7041,Ames Transit Agency dba CyRide,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1700 University Blvd.,,Ames,IA,50010,,,7,http://www.cyride.com/,1817,147809784,15,"58,100",445,"Ames, IA",,"60,438","2,602",23,Y,77,4,81,,
70043,7043,City of Jefferson,JeffTran,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,10/31/2015,4/30/2016,320 East McCarty Street,,Jefferson City,MO,65101,,,7,http://www.jeffcitymo.org/transit/,6309,48127740,36,"43,184",452,"Jefferson City, MO",,"58,533","1,464",40,Y,17,,17,,
70045,7045,Johnson County SEATS,SEATS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,4810 Melrose Ave.,,Iowa City,IA,52246,,,7,http://www.johnson-county.com/dept_seats.aspx?id=581/,,75836403,614,"130,882",290,"Iowa City, IA",,"106,621","2,339",46,Y,23,,23,,
70046,7046,City of Independence,IndeBus,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,111 E Maple,,Independence,MO,64050,,,7,http://www.indebusmo.com/,,76259456,78,"116,830",31,"Kansas City, MO-KS",,"1,519,417","2,242",678,N,,11,11,,
70047,7047,Unified Government Transit Department,UGT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,5033 State Avenue,,Kansas City,KS,66102,,,7,http://www.wycokck.org/,,10652097,156,"155,085",31,"Kansas City, MO-KS",,"1,519,417","2,242",678,Y,17,,17,,
70048,7048,City of Lawrence,,,Active,Full Reporter,Full Reporter,Consolidated Reporter, ,,,12/31/2015,4/30/2016,933 New Hampshire Street,,Lawrence,KS,66044,,708,7,http://www.lawrencetransit.org/,5757,30692461,30,"87,643",332,"Lawrence, KS",,"88,053","2,892",30,Y,,52,52,,
70049,7049,River Bend Transit,RBT,,Active,Full Reporter,Full Reporter,Private-Non-Profit Corporation, ,,,6/30/2015,10/31/2015,7440 Vine Street CT,,Davenport,IA,52806,,,7,http://www.riverbendtransit.org/,,43280437,"2,172","539,775",134,"Davenport, IA-IL",,"280,051","2,026",138,Y,27,11,38,,
70050,7050,Southeast Missouri State University,,,Active,Reduced Reporter,Reduced Reporter,University, ,,,6/30/2015,10/31/2015,One University Plaza,MS 7275,Cape Girardeau,MO,63701,,,7,http://www.semo.edu/transit/index.html,,800913428,5,"10,781",478,"Cape Girardeau, MO-IL",,"52,900","1,510",35,N,13,,13,,
70051,7051,Cape Girardeau County Transit Authority,CTA,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,"937 Broadway, Suite 200",,Cape Girardeau,MO,63701,,,7,http://www.cgcta.com/,7229,3834888,579,"78,043",478,"Cape Girardeau, MO-IL",,"52,900","1,510",35,N,29,,29,,
70052,7052,Senior Citizen Industries,,,Active,Reduced Reporter,Reduced Reporter,Private-Non-Profit Corporation, ,,,6/30/2015,10/31/2015,Hall County Public Transportation,304 E. Third St.,Grand Island,NE,68801,,,7,,,21605345,546,"61,492",496,"Grand Island, NE",,"50,440","1,793",28,N,10,,10,,
70053,7053,Flint Hills Area Transportation ,aTa Bus,,Active,Reduced Reporter,Reduced Reporter,Private-Non-Profit Corporation, ,,,6/30/2015,10/31/2015,5815 Marlatt Avenue,,Manhattan,KS,66503,8125,,7,http://www.rileycountyks.gov/ATA/,,23970242,"1,835","136,821",469,"Manhattan, KS",,"54,622","2,637",21,Y,20,,20,,
70054,7054,Sedgwick County Transportation - Dept. on Aging,SCT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,2622 W. Central Ave,Suite 500,Wichita,KS,67203,4974,,7,http://www.sedgwickcounty.org/aging,7054,56577166,"1,008","498,365",83,"Wichita, KS",,"472,870","2,202",215,Y,3,23,26,,
70055,7055,City of Derby,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,611 Mulberry,Suite 300,Derby,KS,67037,,,7,http://www.derbyweb.com/,,134452486,10,"23,047",83,"Wichita, KS",,"472,870","2,202",215,Y,1,,1,,
70056,7056,Butler County Department on Aging,BCDoA,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,2101 Dearborn,Suite 302,Augusta,KS,67010,,,7,www.bucoks.com/index.aspx?nid=158,,97707004,"1,482","65,827",83,"Wichita, KS",,"472,870","2,202",215,Y,7,,7,,
70057,7057,Loop Trolley Transportation Development District,,,Active,Building Reporter,Building Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,6138A Delmar Blvd,,St. Louis,MO,63112,,,7,http://www.looptrolley.com,7125,78405687,,,20,"St. Louis, MO-IL",,"2,150,706","2,329",924,N,,,,,
70271,,"Kansas City, City of Missouri",KCMO,,Active,Building Reporter,Building Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,4/30/2015,10/31/2015,414 E. 12th Street,"20th Floor, City Hall",Kansas City,MO,64106,2705,,7,www.kcmo.gov,,73134231,,,31,"Kansas City, MO-KS",,"1,519,417","2,242",678,,,,,,
77063,7T01,Ponca Tribe of Nebraska,PTN,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,,2523 Woodbine ,Niobrara,NE,68760,,288,7,http://poncatribe-ne.org/PoncaExpress,6750,957113418,,,0,Nebraska Non-UZA,"Ponca (NE) Trust Land, NE--IA",0,0,0,,13,,13,,
77069,7T03,Santee Sioux Nation,"Santee Reservation, NE",,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,52948 Highway 12    ,,Niobrara   ,NE,68760,,,7,http://www.santeedakota.org/,6830,145859674,,,0,Nebraska Non-UZA,"Santee Reservation, NE",0,0,0,,6,,6,,
77075,7T02,Prairie Band Potawatomi Nation,,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,15185 K Road,,Mayetta,KS,66509,8970,,7,http://www.pbpindiantribe.com/transit.aspx/,6831,47083266,0,0,0,Kansas Non-UZA,"Prairie Band of Potawatomi Nation Reservation, KS",0,0,0,,6,,6,,
77077,,Omaha Tribe Public Transit,,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,100 Main Street,,Macy,NE,68039,,368,7,,,,160,"4,500",0,Nebraska Non-UZA,"Omaha Reservation, NE--IA",0,0,0,,4,,4,,
80001,8001,Utah Transit Authority,UTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,669 West 200 South,,Salt Lake City,UT,84101,,,8,http://www.rideuta.com/,1167,69816163,737,"1,883,504",42,"Salt Lake City-West Valley City, UT",,"1,021,243","3,675",278,Y,"1,053",51,"1,104",,
80002,8002,Su Tran LLC dba: Sioux Area Metro,SAM,,Active,Full Reporter,Full Reporter,Private Provider Reporting on Behalf of a Public Entity, ,,,12/31/2015,4/30/2016,500 East Sixth Street,,Sioux Falls,SD,57103,7016,,8,http://www.siouxareametro.org/,1163,78034683,64,"171,544",212,"Sioux Falls, SD",,"156,777","2,443",64,Y,42,,42,,
80003,8003,"City of Fargo, DBA:  Metropolitan Area Transit",MATBUS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,650 23rd St N,,Fargo,ND,58102,,,8,http://www.matbus.com/,1156,70265871,45,"134,149",194,"Fargo, ND-MN",,"176,676","2,514",70,Y,,36,36,,
80004,8004,Billings Metropolitan Transit,Billings MET Transit ,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1705 Monad Road,,Billings,MT,59103,1178,1178,8,http://www.mettransit.com/,1150,801334830,34,"109,059",273,"Billings, MT",,"114,773","2,167",53,Y,31,,31,,
80005,8005,Mountain Metropolitan Transit,MMT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,1015 Transit Drive,,Colorado Springs,CO,80903,,,8,http://www.springsgov.com/,1137,25951335,257,"527,294",73,"Colorado Springs, CO",,"559,409","2,978",188,Y,35,126,161,,
80006,8006,Denver Regional Transportation District,RTD,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,1600 Blake Street,,Denver,CO,80202,,,8,http://www.rtd-denver.com/,1136,69721371,"2,340","2,876,000",18,"Denver-Aurora, CO",,"2,374,203","3,554",668,Y,619,776,"1,395",,
80007,8007,Pueblo Transit System,PT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,350 Alan Hamel Avenue,,Pueblo,CO,81003,,,8,http://www.pueblo.us/,1140,10620284,39,"108,249",236,"Pueblo, CO",,"136,550","1,840",74,Y,13,11,24,,
80008,8008,Cities Area Transit,CAT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016, 867 South 48th Street,,Grand Forks,ND,58206,5200,5200,8,http://www.grandforksgov.com/bus/,1157,71347249,9,"56,534",440,"Grand Forks, ND-MN",,"61,270","2,507",24,Y,8,10,18,,
80009,8009,Missoula Urban Transportation District,Mountain Line,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1221 Shakespeare St.,,Missoula,MT,59802,,,8,http://www.mountainline.com/,1149,86705613,70,"70,868",348,"Missoula, MT",,"82,157","1,818",45,Y,28,,28,,
80010,8010,City of Greeley - Transit Services,GET,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,1200 A Street,,Greeley,CO,80631,,,8,http://www.GreeleyEvansTransit.com/,1143,112066225,33,"102,338",264,"Greeley, CO",,"117,825","2,858",41,Y,19,,19,,
80011,8011,Transfort ,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,6570 Portner Road,,Fort Collins,CO,80525,,,8,http://www.fcgov.com/transfort/,1138,78362597,54,"143,986",141,"Fort Collins, CO",,"264,465","2,412",110,Y,37,12,49,,
80012,8012,Great Falls Transit District,GFTD,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,3905 North Star Boulevard,,Great Falls,MT,59403,2353,2353,8,http://www.gftransit.com/,1148,28164515,20,"64,010",422,"Great Falls, MT",,"65,207","2,096",31,Y,20,,20,,
80013,8013,City of Casper,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,200 N David,,Casper,WY,82601,,,8,http://www.catcbus.com/,1171,155232234,93,"57,561",424,"Casper, WY",,"64,548","2,127",30,Y,,14,14,,
80014,8014,Rapid Transit System,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,333 Sixth Street,,Rapid City,SD,57701,,,8,http://www.rapidride.org/,1162,57222119,42,"67,956",352,"Rapid City, SD",,"81,251","1,923",42,Y,20,,20,,
80015,8T15,Shoshone and Arapaho Tribes DOT,,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,P.O. Box 217,,Fort Washakie,WY,82514,,217,8,NA,7001,182912493,,,0,Wyoming Non-UZA,"Wind River Reservation and Off-Reservation Trust Land, WY",0,0,0,,3,,3,,
80016,8016,Mesa County,GVT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,525 S. 6th Street,Department 5093,Grand Junction,CO,81502,5001,20000,8,http://gvt.mesacounty.us/,1139,14848873,66,"101,846",251,"Grand Junction, CO",,"128,124","1,626",79,Y,,16,16,,
80017,8T17,Southern Ute Indian Tribe,,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,365 Ouray Dr.,,Ignacio,CO,81137,,737,8,http://www.southern-ute.nsn.us/,6965,78353919,"1,078","29,710",0,Colorado Non-UZA,"Southern Ute Reservation, CO",0,0,0,,1,,1,,
80018,8T18,Fort Peck Tribes ,FPT,,Active,Reduced Reporter,Tribe,Tribe, ,,,6/30/2015,10/31/2015,A and S Industrial Park Road ,,Poplar ,MT,59255,,1027,8,N/A,,829033638,,,0,Montana Non-UZA,"Fort Peck Indian Reservation and Off-Reservation Trust Land, MT",0,0,0,,6,,6,,
80019,8019,Bis-Man Transit Board,CAT,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,12/31/2015,4/30/2016,3750 East Rosser Avenue,,Bismarck,ND,58501,,,8,http://www.bismantransit.com/,1155,834410987,137,"94,719",349,"Bismarck, ND",,"81,955","2,115",39,Y,,24,24,,
80020,8020,The City of Cheyenne Transit Program,CTP,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,322 West Lincolnway,,Cheyenne,WY,82001,,,8,http://www.cheyennecity.org/index.aspx?nid=252,1169,75758169,18,"59,466",377,"Cheyenne, WY",,"73,588","2,095",35,Y,14,,14,,
80025,8025,City of Loveland Transit,COLT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,105 W 5th Street ,,Loveland,CO,80537,,,8,http://www.cityofloveland.org/,2768,76481407,30,"60,000",141,"Fort Collins, CO",,"264,465","2,412",110,Y,5,,5,,
80026,8026,City of St. George,SunTran,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,175 East 200 North,,St. George,UT,84770,,,8,http://sgcity.org/suntran/,6265,135260045,35,"75,561",305,"St. George, UT",,"98,370","2,191",45,Y,10,,10,,
80028,8028,Cache Valley Transit District,CVTD,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,9/30/2015,4/30/2016,754 West 600 North,,Logan,UT,84321,,,8,http://www.cvtdbus.org/,6697,791328482,33,"95,500",311,"Logan, UT",,"94,983","2,162",44,Y,22,,22,,
80106,8106,North Front Range Metropolitan Planning Organization,NFRMPO,,Active,Full Reporter,Full Reporter,"MPO, COG or Other Planning Agency", ,,,12/31/2015,4/30/2016,419 Canyon Avenue,Suite 300,Fort Collins,CO,80521,,,8,http://www.nfrmpo.org/,6789,195771709,56,"143,986",141,"Fort Collins, CO",,"264,465","2,412",110,Y,75,,75,,
80107,8107,The University of Montana - ASUM Transportation,ASUM OT,,Active,Full Reporter,Full Reporter,University, ,,,6/30/2015,10/31/2015,Campus Drive,,Missoula,MT,59812,,,8,http://umt.edu/transportation/,,10379790,10,"40,948",348,"Missoula, MT",,"82,157","1,818",45,N,6,,6,,
80109,8109,"vRide, Inc. - Denver",,,Active,Full Reporter,Full Reporter,Private Provider Reporting on Behalf of a Public Entity, ,,,12/31/2015,4/30/2016,400 South Colorado Blvd,Suite 240,Denver,CO,80246,,,8,http://www.vride.com/,,98675887,668,"2,803,394",18,"Denver-Aurora, CO",,"2,374,203","3,554",668,N,120,,120,,
80110,8110,Fargo Park District/ Valley Senior Services dba Valley Senior Services,,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,2801 32nd Ave So.,,Fargo,ND,58108,2217,2217,8,http://valleyseniorservices.org/,,132570615,"7,266","160,434",194,"Fargo, ND-MN",,"176,676","2,514",70,N,17,4,21,,
80212,8R03-042,Turtle Mtn. Nutrition & Support Services,,,Active,Reduced Reporter,Tribe,Tribe, ,,,6/30/2015,10/31/2015,PO Box 900,,Belcourt,ND,58316,,,8,,,121203486,0,0,0,North Dakota Non-UZA,"Turtle Mountain Reservation and Off-Reservation Trust Land, MT--ND--SD",0,0,0,,3,,3,,
80266,8R03-019,Trenton Indian Service Area Aging Program,,,Active,Reduced Reporter,Tribe,Tribe, ,,,6/30/2015,10/31/2015,,,Trenton,ND,58853,,210,8,,,84114404,0,0,0,North Dakota Non-UZA,"Turtle Mountain Reservation and Off-Reservation Trust Land, MT--ND--SD",0,0,0,,7,,7,,
88116,8T07,Northern Cheyenne Tribe,NCT,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,600 Littlecoyote Drive,,Lame Deer,MT,50943,128,128,8,www.cheyennenation.com,6700,1118574,694,"4,939",0,Montana Non-UZA,"Northern Cheyenne Indian Reservation and Off-Reservation Trust Land, MT--SD",0,0,0,,2,,2,,
88122,8T08,Oglala Sioux Tribe,OSTDOT,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,1/31/2016,Department of Transportation - Transit,,Pine Ridge,SD,57770,,468,8,,6192,171068427,0,0,0,South Dakota Non-UZA,"Pine Ridge Reservation, SD--NE",0,0,0,,8,,8,,
88128,8T11,Spirit Lake Tribe,,,Active,Reduced Reporter,Tribe,Tribe, ,,,12/31/2015,4/30/2016,,,Fort Totten,ND,58335,,359,8,www.spiritlakenation.com,5842,60487915,,,0,North Dakota Non-UZA,"Spirit Lake Reservation, ND",0,0,0,,3,,3,,
88134,8T04,Confederated Salish and Kootenai Tribes,CSKT,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,,,Pablo,MT,59855,,278,8,http://www.cskt.org/,6199,71409460,,,0,Montana Non-UZA,"Flathead Reservation, MT",0,0,0,,22,,22,,
88140,8T12,Standing Rock Public Transportation,,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,9299 Highway 24,,Fort Yates,ND,58538,,,8,http://www.sittingbull.edu/,5838,962780326,"3,563","8,645",0,North Dakota Non-UZA,"Standing Rock Reservation, SD--ND",0,0,0,,11,,11,,
88146,8T13,Turtle Mountain Band of Chippewa Indian,,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,PO Box 900,,Belcourt,ND,58316,,900,8,NA,6851,459300411,,,0,North Dakota Non-UZA,"Turtle Mountain Reservation and Off-Reservation Trust Land, MT--ND--SD",0,0,0,,2,,2,,
88152,8T01,Blackfeet Nation Department of Transit Dept,,,Active,Reduced Reporter,Tribe,Tribe, ,,,6/30/2015,10/31/2015,200 East Hospital Dr,,Browning,MT,59417,850,850,8,www.mdt.mt.gov/travinfo/public_trans.shtml,5974,172612756,,,0,Montana Non-UZA,"Blackfeet Indian Reservation and Off-Reservation Trust Land, MT",0,0,0,,2,,2,,
88158,8T02,Cheyenne River Sioux Tribe,,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,24495 US Hwy 212,,Eagle Butte,SD,57625,590,590,8,http://www.sioux.org/,6571,3849833,,,0,South Dakota Non-UZA,"Cheyenne River Reservation and Off-Reservation Trust Land, SD",0,0,0,,,7,7,,
88164,8T03,Chippewa Cree Tribe,,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,31 Agency Square,,Box Elder,MT,59521,,,8,http://www.rockyboy.org/,6902,59756981,,,0,Montana Non-UZA,"Rocky Boy's Reservation and Off-Reservation Trust Land, MT",0,0,0,,5,,5,,
88170,8T05,Fort Belknap Indian Community,FBIC,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,656 Agency Main Street,,Harlem,MT,59526,,66,8,www.ftbelknap.org,1144,50666569,,,0,Montana Non-UZA,"Fort Belknap Reservation and Off-Reservation Trust Land, MT",0,0,0,,2,,2,,
88176,8T06,Lower Brule Sioux Tribe,,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,187 Oyate Circle,,Lower Brule,SD,57548,187,,8,http://www.lbst.org/,6860,146099668,,,0,South Dakota Non-UZA,"Lower Brule Reservation and Off-Reservation Trust Land, SD",0,0,0,,,6,6,,
88182,8T09,Rosebud Sioux Tribe,RST,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,,,Rosebud ,SD,57570,430,430,8,,6881,105151518,,,0,South Dakota Non-UZA,"Rosebud Indian Reservation and Off-Reservation Trust Land, SD",0,0,0,,12,,12,,
